Country/Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious/Critical;Tot Cases/1M pop;Deaths/1M pop;Total Tests;Tests/1M pop;Population
USA;1,736,744;11,469;101,470;898;483,092;1,152,182;17,146;5,250;307;15,747,731;47,603;330,817,010
Brazil;396,166;3,806;24,746;197;158,593;212,827;8,318;1,865;116;871,839;4,104;212,413,908
Russia;370,680;8,338;3,968;161;142,208;224,504;2,300;2,540;27;9,415,992;64,525;145,928,655
Spain;283,849;510;27,118;1;196,958;59,773;854;6,071;580;3,556,567;76,071;46,753,098
Italy;231,139;584;33,072;117;147,101;50,966;505;3,822;547;3,607,251;59,654;60,469,988
France;182,722;;28,530;;65,879;88,313;1,555;2,800;437;1,384,633;21,217;65,259,974
Germany;181,770;482;8,526;28;162,800;10,444;821;2,170;102;3,952,971;47,195;83,758,696
Turkey;159,797;1,035;4,431;34;122,793;32,573;723;1,897;53;1,894,650;22,488;84,249,900
India;158,086;7,293;4,534;190;67,749;85,803;8,944;115;3;3,242,160;2,352;1,378,678,095
Iran;141,591;2,080;7,564;56;111,176;22,851;2,551;1,688;90;856,546;10,211;83,886,140
Peru;129,751;;3,788;;52,906;73,057;923;3,941;115;875,721;26,597;32,925,941
Canada;87,481;834;6,760;121;46,072;34,649;502;2,320;179;1,528,315;40,528;37,709,994
China;82,993;1;4,634;;78,280;79;5;58;3;;;1,439,323,776
Chile;82,289;4,328;841;35;33,540;47,908;1,251;4,308;44;514,523;26,938;19,100,270
Saudi Arabia;78,541;1,815;425;14;51,022;27,094;384;2,260;12;754,268;21,700;34,759,189
Mexico;74,560;3,455;8,134;501;52,219;14,207;378;579;63;235,129;1,826;128,799,843
Pakistan;59,151;1,446;1,225;28;19,142;38,784;111;268;6;499,399;2,265;220,450,694
Belgium;57,592;137;9,364;30;15,465;32,763;220;4,971;808;804,890;69,478;11,584,839
Qatar;48,947;1,740;30;2;13,283;35,634;203;17,018;10;201,180;69,949;2,876,111
Belarus;38,956;897;214;6;15,923;22,819;92;4,122;23;485,534;51,381;9,449,610
Bangladesh;38,292;1,541;544;22;7,925;29,823;1;233;3;266,456;1,620;164,528,877
Ecuador;38,103;748;3,275;72;18,425;16,403;219;2,163;186;109,541;6,218;17,616,090
Sweden;35,088;648;4,220;95;4,971;25,897;264;3,476;418;238,800;23,659;10,093,230
Singapore;32,876;533;23;;17,276;15,577;7;5,624;4;334,691;57,252;5,845,893
UAE;31,969;883;255;2;16,371;15,343;1;3,236;26;2,072,493;209,797;9,878,576
Portugal;31,292;285;1,356;14;18,349;11,587;66;3,068;133;689,705;67,622;10,199,416
Switzerland;30,776;15;1,917;2;28,300;559;42;3,559;222;380,671;44,016;8,648,520
Ireland;24,803;68;1,631;16;21,060;2,112;54;5,029;331;325,795;66,053;4,932,355
South Africa;24,264;;524;;12,741;10,999;128;410;9;605,991;10,230;59,234,476
Indonesia;23,851;686;1,473;55;6,057;16,321;;87;5;278,411;1,019;273,239,726
Kuwait;23,267;692;175;3;7,946;15,146;193;5,456;41;278,945;65,415;4,264,228
Colombia;23,003;;776;;5,511;16,716;136;453;15;271,118;5,334;50,829,634
Poland;22,473;399;1,028;4;10,330;11,115;160;594;27;824,774;21,790;37,850,425
Ukraine;21,905;321;658;14;7,995;13,252;259;501;15;312,532;7,142;43,757,273
Egypt;18,756;;797;;5,027;12,932;41;184;8;135,000;1,322;102,136,256
Romania;18,594;165;1,227;11;12,162;5,205;198;966;64;397,563;20,654;19,249,131
